City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Parry Sound,CA,2021-02-14 09:11:11,45.3501,-80.033,8.01,85,85,3.6
67,Khatanga,RU,2021-02-14 09:11:11,71.9667,102.5,-32.51,82,52,3.58
68,Hovd,MN,2021-02-14 09:11:12,48.0056,91.6419,20.12,76,0,3.94
69,Ancud,CL,2021-02-14 09:11:12,-41.8697,-73.8203,55.0,87,75,12.66
70,Qaanaaq,GL,2021-02-14 09:11:12,77.484,-69.3632,10.78,80,0,5.53
71,Shujaabad,PK,2021-02-14 09:11:12,29.8797,71.2931,78.8,36,40,6.91
72,Puerto Ayora,EC,2021-02-14 09:11:12,-0.7393,-90.3518,75.99,93,97,3.0
73,Segou,ML,2021-02-14 09:11:13,13.4317,-6.2157,85.26,13,0,7.65
74,Cidreira,BR,2021-02-14 09:11:10,-30.1811,-50.2056,71.17,89,29,3.44
75,Sept-Iles,CA,2021-02-14 09:11:13,50.2001,-66.3821,5.0,72,50,5.75
76,Petropavlovsk-Kamchatskiy,RU,2021-02-14 09:11:13,53.0452,158.6483,6.8,78,89,2.24
77,Los Llanos De Aridane,ES,2021-02-14 09:11:13,28.6585,-17.9182,62.6,72,0,9.22
78,Thompson,CA,2021-02-14 09:11:13,55.7435,-97.8558,-16.6,76,90,4.61
79,Jiuquan,CN,2021-02-14 09:11:13,39.7432,98.5174,35.82,71,45,2.82
80,Georgetown,MY,2021-02-14 09:11:14,5.4112,100.3354,93.2,55,20,11.5
81,Richards Bay,ZA,2021-02-14 09:11:07,-28.783,32.0377,79.59,88,100,5.12
82,Mahanoro,MG,2021-02-14 09:11:14,-19.9,48.8,79.68,81,100,4.29
83,Lorengau,PG,2021-02-14 09:11:14,-2.0226,147.2712,81.82,79,12,7.9
84,Rach Gia,VN,2021-02-14 09:11:15,10.0167,105.0833,86.0,62,40,3.44
85,Kachiry,KZ,2021-02-14 09:11:15,53.0675,76.1036,28.8,97,85,8.79
86,Turukhansk,RU,2021-02-14 09:11:15,65.8167,87.9833,-23.24,82,0,5.26
87,Katherine,AU,2021-02-14 09:11:15,-14.4667,132.2667,89.6,62,60,8.05
88,Port Augusta,AU,2021-02-14 09:11:15,-32.5,137.7667,78.01,60,0,20.71
89,Deputatskiy,RU,2021-02-14 09:11:16,69.3,139.9,-29.72,87,5,2.84
90,Jamestown,US,2021-02-14 09:11:16,42.097,-79.2353,23.0,93,90,12.66
91,Atambua,ID,2021-02-14 09:11:16,-9.1061,124.8925,78.24,87,100,6.49
92,Constitucion,CL,2021-02-14 09:11:16,-35.3333,-72.4167,53.78,86,4,2.73
93,Pimentel,PE,2021-02-14 09:11:16,-6.8367,-79.9342,71.01,90,80,1.99
94,Biak,ID,2021-02-14 09:11:17,-0.9131,122.8766,80.38,81,97,6.98
95,Hambantota,LK,2021-02-14 09:11:17,6.1241,81.1185,89.6,66,75,3.44
96,Isangel,VU,2021-02-14 09:11:17,-19.55,169.2667,80.6,83,40,9.22
97,Barrow,US,2021-02-14 09:10:02,71.2906,-156.7887,-20.2,76,1,5.75
98,Brae,GB,2021-02-14 09:11:17,60.3964,-1.353,41.0,81,90,34.52
99,Severo-Kurilsk,RU,2021-02-14 09:11:18,50.6789,156.125,24.57,93,87,10.36
