City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Nizhniy Mamon,RU,2021-02-15 02:57:03,50.1937,40.5083,9.82,93,9,7.67,clear sky
60,Esperance,AU,2021-02-15 02:56:25,-33.8667,121.9,80.6,39,31,8.05,scattered clouds
61,Mabai,CN,2021-02-15 02:57:03,23.0128,104.4508,55.78,88,79,4.7,broken clouds
62,Kedrovyy,RU,2021-02-15 02:57:03,56.1667,91.8167,-9.4,77,20,3.87,mist
63,Sidi Ali,DZ,2021-02-15 02:57:04,36.0998,0.4206,48.0,78,17,6.85,few clouds
64,Nanortalik,GL,2021-02-15 02:57:04,60.1432,-45.2371,22.33,91,37,10.56,scattered clouds
65,Pevek,RU,2021-02-15 02:57:04,69.7008,170.3133,-18.06,85,0,0.92,clear sky
66,Greytown,ZA,2021-02-15 02:57:04,-29.0642,30.5928,65.19,96,97,1.88,light rain
67,Kibre Mengist,ET,2021-02-15 02:57:04,5.8833,38.9833,59.43,52,69,2.04,broken clouds
68,Totolapan,MX,2021-02-15 02:57:05,18.5167,-96.1833,71.01,88,1,6.91,clear sky
69,Geraldton,AU,2021-02-15 02:57:05,-28.7667,114.6,84.2,48,0,9.22,clear sky
70,Boende,CD,2021-02-15 02:57:05,-0.2167,20.8667,72.55,96,100,3.2,overcast clouds
71,Farafangana,MG,2021-02-15 02:57:05,-22.8167,47.8333,75.51,84,100,2.19,light rain
72,Rocha,UY,2021-02-15 02:57:05,-34.4833,-54.3333,67.62,91,99,4.0,overcast clouds
73,Srednekolymsk,RU,2021-02-15 02:57:05,67.45,153.6833,-18.27,85,12,10.58,few clouds
74,Kahului,US,2021-02-15 02:57:06,20.8947,-156.47,82.4,57,40,11.5,scattered clouds
75,Senador Jose Porfirio,BR,2021-02-15 02:57:06,-2.5908,-51.9542,74.79,95,100,4.99,moderate rain
76,Grand Gaube,MU,2021-02-15 02:57:06,-20.0064,57.6608,77.0,82,100,3.0,overcast clouds
77,San Patricio,US,2021-02-15 02:57:06,28.017,-97.5169,28.4,93,90,27.63,overcast clouds
78,Nemuro,JP,2021-02-15 02:57:06,43.3236,145.575,32.0,100,75,4.61,mist
79,Vaini,TO,2021-02-15 02:57:07,-21.2,-175.2,86.0,74,20,5.75,few clouds
80,Xining,CN,2021-02-15 02:57:07,36.6167,101.7667,27.23,83,100,1.5,overcast clouds
81,Dogondoutchi,NE,2021-02-15 02:57:07,13.6393,4.0287,73.24,19,0,9.06,clear sky
82,Sao Filipe,CV,2021-02-15 02:57:07,14.8961,-24.4956,70.68,75,100,5.7,overcast clouds
83,Katsuura,JP,2021-02-15 02:57:08,35.1333,140.3,60.8,94,75,17.27,heavy intensity rain
84,Bathsheba,BB,2021-02-15 02:57:08,13.2167,-59.5167,78.8,65,40,23.02,scattered clouds
85,Georgetown,MY,2021-02-15 02:55:33,5.4112,100.3354,86.0,61,20,8.05,few clouds
86,Barrow,US,2021-02-15 02:57:08,71.2906,-156.7887,-11.2,70,90,6.91,overcast clouds
87,Bulgan,MN,2021-02-15 02:57:08,48.8125,103.5347,5.49,87,46,5.66,scattered clouds
88,Nuuk,GL,2021-02-15 02:57:09,64.1835,-51.7216,14.0,67,90,2.3,overcast clouds
89,Yambio,SS,2021-02-15 02:57:09,4.5721,28.3955,68.76,25,83,2.86,broken clouds
90,Makakilo City,US,2021-02-15 02:57:09,21.3469,-158.0858,82.4,57,20,10.36,light rain
91,Vilcun,CL,2021-02-15 02:57:09,-38.65,-72.2333,53.6,82,0,2.3,clear sky
92,Cockburn Town,TC,2021-02-15 02:57:10,21.4612,-71.1419,77.72,77,0,24.87,clear sky
93,Arraial Do Cabo,BR,2021-02-15 02:57:10,-22.9661,-42.0278,75.88,88,100,12.84,light rain
94,Maceio,BR,2021-02-15 02:57:10,-9.6658,-35.7353,75.2,94,0,2.3,clear sky
95,Gangavalli,IN,2021-02-15 02:57:10,11.4983,78.6497,74.52,67,91,1.63,overcast clouds
96,Taksimo,RU,2021-02-15 02:57:10,56.3444,114.8794,-10.12,78,67,1.41,broken clouds
97,Hasaki,JP,2021-02-15 02:57:11,35.7333,140.8333,59.0,94,75,19.57,moderate rain
98,Coolum Beach,AU,2021-02-15 02:57:11,-26.5333,153.1,81.0,68,38,5.99,scattered clouds
99,Zhigalovo,RU,2021-02-15 02:57:11,54.8097,105.1578,-9.13,84,0,3.53,clear sky
100,Batagay-Alyta,RU,2021-02-15 02:57:11,67.8006,130.4114,-12.66,86,100,1.39,overcast clouds
101,Port Hedland,AU,2021-02-15 02:54:32,-20.3167,118.5667,91.4,46,92,10.36,overcast clouds
102,Sheffield Lake,US,2021-02-15 02:57:11,41.4875,-82.1015,21.0,73,20,5.75,few clouds
103,Atuona,PF,2021-02-15 02:57:11,-9.8,-139.0333,79.21,74,0,11.72,clear sky
104,Vestmannaeyjar,IS,2021-02-15 02:57:12,63.4427,-20.2734,43.0,81,100,9.08,overcast clouds
105,Saint-Pierre,RE,2021-02-15 02:57:12,-21.3393,55.4781,77.0,73,0,6.91,clear sky
106,Hofn,IS,2021-02-15 02:57:12,64.2539,-15.2082,41.83,93,100,10.09,light rain
107,Khatanga,RU,2021-02-15 02:57:12,71.9667,102.5,-34.74,82,64,0.56,broken clouds
108,Lavrentiya,RU,2021-02-15 02:57:12,65.5833,-171.0,-11.29,84,0,12.37,clear sky
109,Provideniya,RU,2021-02-15 02:57:13,64.3833,-173.3,10.4,79,40,17.9,snow
110,Faanui,PF,2021-02-15 02:57:13,-16.4833,-151.75,81.77,74,69,11.41,light rain
111,Severo-Kurilsk,RU,2021-02-15 02:57:13,50.6789,156.125,26.76,93,87,10.87,overcast clouds
112,Kodiak,US,2021-02-15 02:57:13,57.79,-152.4072,39.2,93,90,8.05,light rain
113,Tautira,PF,2021-02-15 02:57:13,-17.7333,-149.15,84.2,70,40,12.66,moderate rain
114,Butaritari,KI,2021-02-15 02:57:13,3.0707,172.7902,79.92,79,96,19.15,overcast clouds
115,Nadym,RU,2021-02-15 02:57:13,65.5333,72.5167,-16.73,88,100,19.64,light snow
116,Solnechnyy,RU,2021-02-15 02:57:14,50.7214,136.6319,8.1,90,99,3.47,overcast clouds
117,Waipawa,NZ,2021-02-15 02:57:14,-41.4122,175.5153,66.0,82,40,10.36,light rain
118,Gari,RU,2021-02-15 02:57:14,59.4307,62.3497,-13.16,90,96,2.84,overcast clouds
119,Aklavik,CA,2021-02-15 02:57:14,68.2191,-135.0107,-2.2,84,100,3.44,overcast clouds
120,Clyde River,CA,2021-02-15 02:57:15,70.4692,-68.5914,-13.0,84,69,4.61,broken clouds
121,Tutoia,BR,2021-02-15 02:57:15,-2.7619,-42.2744,80.46,81,100,10.33,overcast clouds
122,Beloha,MG,2021-02-15 02:57:15,-25.1667,45.05,73.96,76,100,8.01,overcast clouds
123,Bandarbeyla,SO,2021-02-15 02:57:15,9.4942,50.8122,72.79,75,10,7.7,clear sky
124,Ust-Nera,RU,2021-02-15 02:57:15,64.5667,143.2,-10.39,78,21,1.12,few clouds
125,Naze,JP,2021-02-15 02:57:15,28.3667,129.4833,68.0,64,40,19.57,scattered clouds
126,Fort Nelson,CA,2021-02-15 02:53:43,58.8053,-122.7002,-9.4,77,75,2.3,broken clouds
127,Lensk,RU,2021-02-15 02:57:16,60.7253,114.9278,-20.4,81,0,3.71,clear sky
128,Ostrovnoy,RU,2021-02-15 02:57:16,68.0531,39.5131,9.97,95,100,10.07,overcast clouds
129,Cayenne,GF,2021-02-15 02:57:16,4.9333,-52.3333,80.6,74,75,10.36,broken clouds
130,Sturgis,US,2021-02-15 02:57:16,41.7992,-85.4192,15.01,67,90,5.75,overcast clouds
131,Minakuchi,JP,2021-02-15 02:57:17,34.9667,136.1667,55.99,96,100,4.0,moderate rain
132,Yerbogachen,RU,2021-02-15 02:57:17,61.2767,108.0108,-29.43,82,6,3.49,clear sky
133,Cape Town,ZA,2021-02-15 02:52:50,-33.9258,18.4232,64.4,52,75,3.44,broken clouds
134,Dinguiraye,GN,2021-02-15 02:57:17,11.3,-10.7167,72.91,22,30,2.89,scattered clouds
135,Thompson,CA,2021-02-15 02:57:17,55.7435,-97.8558,-5.8,84,75,4.61,broken clouds
136,Shingu,JP,2021-02-15 02:57:17,33.7333,135.9833,55.4,94,75,26.46,broken clouds
137,Zaliztsi,UA,2021-02-15 02:57:18,49.7919,25.373,22.77,98,100,13.44,light snow
138,Vila Velha,BR,2021-02-15 02:57:18,-20.3297,-40.2925,78.8,78,0,9.22,clear sky
139,Shakiso,ET,2021-02-15 02:57:18,5.75,38.9167,61.72,47,54,2.64,broken clouds
140,Ancud,CL,2021-02-15 02:57:18,-41.8697,-73.8203,52.0,62,0,11.5,clear sky
141,Hohhot,CN,2021-02-15 02:57:18,40.8106,111.6522,12.2,57,0,2.24,clear sky
142,Danshui,CN,2021-02-15 02:57:18,22.7984,114.4672,75.0,66,0,11.01,clear sky
143,Half Moon Bay,US,2021-02-15 02:57:19,37.4636,-122.4286,55.4,93,90,5.75,mist
144,Erdenet,MN,2021-02-15 02:57:19,49.0333,104.0833,1.71,89,89,3.8,overcast clouds
145,Pitimbu,BR,2021-02-15 02:57:19,-7.4706,-34.8086,78.8,89,20,5.75,few clouds
146,Shimoda,JP,2021-02-15 02:57:19,34.6667,138.95,62.6,88,75,20.71,heavy intensity rain
147,Uch,FR,2021-02-15 02:57:19,45.3192,-0.9345,42.8,75,0,13.8,clear sky
148,Hailar,CN,2021-02-15 02:57:19,49.2,119.7,-12.06,86,100,2.01,overcast clouds
149,Ondjiva,AO,2021-02-15 02:57:19,-17.0667,15.7333,65.25,82,91,5.14,overcast clouds
150,San Jose,US,2021-02-15 02:53:20,37.3394,-121.895,57.2,51,90,3.67,overcast clouds
151,Qurayyat,SA,2021-02-15 02:57:20,31.3318,37.3428,48.2,76,0,4.61,clear sky
152,Saint-Philippe,RE,2021-02-15 02:57:20,-21.3585,55.7679,77.0,73,0,6.91,clear sky
153,Pasni,PK,2021-02-15 02:57:20,25.2631,63.471,68.77,62,0,8.97,clear sky
154,Udachnyy,RU,2021-02-15 02:57:20,66.4167,112.4,-24.92,83,100,13.13,overcast clouds
155,Nicoya,CR,2021-02-15 02:57:21,10.1483,-85.452,82.4,51,0,9.22,clear sky
156,Taoudenni,ML,2021-02-15 02:57:21,22.6783,-3.9836,67.03,26,0,23.06,clear sky
157,Champasak,LA,2021-02-15 02:57:21,14.75,106.0,75.2,60,65,2.3,broken clouds
158,Diu,IN,2021-02-15 02:57:21,20.7141,70.9822,67.68,70,0,4.27,clear sky
159,Airai,TL,2021-02-15 02:57:21,-8.9266,125.4092,72.32,74,99,4.72,overcast clouds
160,Pomichna,UA,2021-02-15 02:57:21,48.2422,31.4158,10.65,97,63,4.97,broken clouds
161,La Fleche,FR,2021-02-15 02:57:22,47.6982,-0.0755,45.0,76,0,10.36,clear sky
162,Okhotsk,RU,2021-02-15 02:57:22,59.3833,143.3,5.79,89,100,4.9,overcast clouds
163,Mahebourg,MU,2021-02-15 02:57:22,-20.4081,57.7,73.4,94,40,4.61,scattered clouds
164,Yarim,YE,2021-02-15 02:57:22,14.298,44.3779,49.12,46,72,3.62,broken clouds
165,Mount Gambier,AU,2021-02-15 02:53:05,-37.8333,140.7667,75.2,46,86,8.05,overcast clouds
166,Goderich,CA,2021-02-15 02:57:23,43.7501,-81.7165,17.6,73,100,4.61,overcast clouds
167,Lakes Entrance,AU,2021-02-15 02:57:23,-37.8811,147.981,72.0,60,3,8.01,clear sky
168,General Pico,AR,2021-02-15 02:57:23,-35.6566,-63.7568,70.65,62,0,9.75,clear sky
169,Avarua,CK,2021-02-15 02:57:23,-21.2078,-159.775,86.0,70,20,8.05,light rain
170,Deputatskiy,RU,2021-02-15 02:57:23,69.3,139.9,-4.18,93,100,2.66,light snow
171,Kalemie,CD,2021-02-15 02:57:24,-5.9475,29.1947,70.09,81,100,2.06,overcast clouds
172,Souillac,MU,2021-02-15 02:57:24,-20.5167,57.5167,73.4,94,40,4.61,scattered clouds
173,Ostersund,SE,2021-02-15 02:57:24,63.1792,14.6357,21.2,86,0,10.36,clear sky
174,Qaanaaq,GL,2021-02-15 02:57:24,77.484,-69.3632,4.86,88,100,3.96,overcast clouds
175,Bengkulu,ID,2021-02-15 02:57:24,-3.8004,102.2655,86.67,61,1,2.86,clear sky
176,Anadyr,RU,2021-02-15 02:57:25,64.75,177.4833,-2.0,78,99,24.61,snow
177,Beringovskiy,RU,2021-02-15 02:57:25,63.05,179.3167,-0.35,87,99,20.78,overcast clouds
178,Point Pleasant,US,2021-02-15 02:57:25,40.0832,-74.0682,37.0,75,90,4.61,overcast clouds
179,Masyaf,SY,2021-02-15 02:57:25,35.0653,36.3406,50.0,76,40,4.61,scattered clouds
180,Tiarei,PF,2021-02-15 02:57:25,-17.5333,-149.3333,84.2,70,40,12.66,light rain
181,Nichinan,JP,2021-02-15 02:57:26,31.6,131.3667,66.2,52,40,27.63,scattered clouds
182,Husavik,IS,2021-02-15 02:57:08,66.0449,-17.3389,42.8,65,90,8.05,moderate rain
183,Kashary,RU,2021-02-15 02:57:26,49.04,41.0056,13.71,89,44,7.11,scattered clouds
184,Ayagoz,KZ,2021-02-15 02:57:26,47.9714,80.4392,16.02,81,23,2.42,few clouds
185,Riyadh,SA,2021-02-15 02:54:19,24.6877,46.7219,57.2,44,0,4.97,clear sky
186,Yumen,CN,2021-02-15 02:57:27,40.2833,97.2,31.69,81,100,1.92,overcast clouds
187,Sioux Lookout,CA,2021-02-15 02:57:27,50.1001,-91.917,-18.4,69,1,3.44,clear sky
188,Acari,PE,2021-02-15 02:57:27,-15.4311,-74.6158,71.98,72,45,1.83,scattered clouds
189,Mongu,ZM,2021-02-15 02:54:48,-15.2484,23.1274,63.84,72,84,3.38,broken clouds
190,Lake City,US,2021-02-15 02:56:32,30.1897,-82.6393,51.8,100,90,3.44,mist
191,Cap Malheureux,MU,2021-02-15 02:57:28,-19.9842,57.6142,77.0,82,94,3.0,overcast clouds
192,Canutama,BR,2021-02-15 02:54:07,-6.5339,-64.3831,74.34,98,100,3.02,moderate rain
193,Xai-Xai,MZ,2021-02-15 02:55:08,-25.0519,33.6442,76.19,90,59,7.09,light rain
194,Imeni Poliny Osipenko,RU,2021-02-15 02:57:28,52.4201,136.4853,8.83,93,99,3.36,overcast clouds
195,Oranjemund,NA,2021-02-15 02:55:09,-28.55,16.4333,62.78,79,0,9.24,clear sky
196,Terrace,CA,2021-02-15 02:57:29,54.5163,-128.6035,21.2,86,90,18.41,snow
197,Mattru,SL,2021-02-15 02:57:29,7.6244,-11.8332,74.86,97,1,1.1,clear sky
198,Poya,NC,2021-02-15 02:57:29,-21.35,165.15,82.6,72,41,6.98,scattered clouds
199,Pakxan,LA,2021-02-15 02:57:29,18.3778,103.6601,82.99,49,61,3.2,broken clouds
200,Cherskiy,RU,2021-02-15 02:57:30,68.75,161.3,-4.67,90,92,2.42,overcast clouds
201,Marawi,PH,2021-02-15 02:57:30,7.9986,124.2928,82.0,80,80,5.01,broken clouds
202,Piracanjuba,BR,2021-02-15 02:57:30,-17.3028,-49.0167,69.46,93,100,4.52,light rain
203,Saldanha,ZA,2021-02-15 02:57:30,-33.0117,17.9442,62.6,67,0,4.61,clear sky
204,Carutapera,BR,2021-02-15 02:53:09,-1.195,-46.02,76.62,92,100,6.49,light rain
205,Mwene-Ditu,CD,2021-02-15 02:57:30,-7.0,23.45,64.83,92,100,2.33,overcast clouds
206,Chara,RU,2021-02-15 02:57:30,56.9064,118.2631,-15.79,80,100,1.95,overcast clouds
207,Chimbote,PE,2021-02-15 02:57:31,-9.0853,-78.5783,71.85,80,67,7.47,broken clouds
208,Alibag,IN,2021-02-15 02:57:31,18.6411,72.8792,75.2,73,75,3.44,haze
209,Valparaiso,CL,2021-02-15 02:57:31,-33.0393,-71.6273,60.8,88,90,4.61,overcast clouds
210,Pustomyty,UA,2021-02-15 02:57:31,49.7153,23.913,23.0,86,75,13.42,snow
211,Havoysund,NO,2021-02-15 02:57:32,70.9963,24.6622,33.8,86,75,4.61,light snow
212,Itupiranga,BR,2021-02-15 02:57:32,-5.1347,-49.3267,74.43,95,100,5.28,overcast clouds
213,Saint-Joseph,RE,2021-02-15 02:57:32,-21.3667,55.6167,77.0,73,0,6.91,clear sky
214,Port Lincoln,AU,2021-02-15 02:57:32,-34.7333,135.8667,70.77,62,1,9.4,clear sky
215,Castro,BR,2021-02-15 02:54:37,-24.7911,-50.0119,61.99,94,2,3.87,clear sky
216,Constitucion,CL,2021-02-15 02:57:32,-35.3333,-72.4167,56.52,87,0,5.91,clear sky
217,Tala,EG,2021-02-15 02:57:33,30.6803,30.9429,45.32,87,0,0.49,clear sky
218,Tsabong,BW,2021-02-15 02:57:33,-26.0217,22.401,71.01,30,0,14.9,clear sky
219,Rantepao,ID,2021-02-15 02:57:33,-2.9701,119.8978,82.62,55,81,3.2,broken clouds
220,Kamenka,RU,2021-02-15 02:57:33,51.3223,42.7678,-4.95,92,34,7.29,scattered clouds
221,Komsomolskiy,UZ,2021-02-15 02:57:33,40.4272,71.7189,35.6,75,100,6.91,overcast clouds
222,Guatire,VE,2021-02-15 02:57:34,10.4762,-66.5427,78.8,61,20,8.05,few clouds
223,Mareeba,AU,2021-02-15 02:57:34,-17.0,145.4333,91.99,66,40,8.05,scattered clouds
224,Chuy,UY,2021-02-15 02:57:34,-33.6971,-53.4616,68.81,91,100,3.24,overcast clouds
225,Lubao,PH,2021-02-15 02:57:34,14.9167,120.55,82.4,74,75,6.91,broken clouds
226,East London,ZA,2021-02-15 02:57:34,-33.0153,27.9116,71.42,83,91,19.46,light rain
227,Bagdarin,RU,2021-02-15 02:57:35,54.4333,113.6,-8.84,78,54,3.76,broken clouds
228,Chipinge,ZW,2021-02-15 02:57:35,-20.1883,32.6236,65.59,99,86,5.64,light rain
229,Bonthe,SL,2021-02-15 02:57:35,7.5264,-12.505,78.13,91,11,5.19,few clouds
230,Isangel,VU,2021-02-15 02:57:35,-19.55,169.2667,85.57,70,99,4.36,overcast clouds
231,Talaya,RU,2021-02-15 02:57:35,61.3833,152.75,-18.98,82,47,1.77,scattered clouds
232,Maraa,BR,2021-02-15 02:57:35,-1.8333,-65.3667,75.34,89,85,1.45,moderate rain
233,Sobolevo,RU,2021-02-15 02:57:36,54.4299,31.8996,5.07,95,96,6.15,light snow
234,Mulchen,CL,2021-02-15 02:57:36,-37.7167,-72.2333,60.89,63,2,7.05,clear sky
235,Guarapari,BR,2021-02-15 02:57:36,-20.6667,-40.4975,78.8,78,0,9.22,clear sky
236,Coquimbo,CL,2021-02-15 02:53:29,-29.9533,-71.3436,60.8,88,40,8.05,scattered clouds
237,Moncton,CA,2021-02-15 02:57:36,46.1159,-64.8019,21.2,58,90,10.36,overcast clouds
238,Mana,GF,2021-02-15 02:57:36,5.6592,-53.7767,77.09,79,100,14.45,overcast clouds
239,Prabumulih,ID,2021-02-15 02:57:37,-3.45,104.25,75.76,94,100,3.67,overcast clouds
240,Matara,LK,2021-02-15 02:57:37,5.9485,80.5353,80.85,78,81,3.47,broken clouds
241,Araouane,ML,2021-02-15 02:57:37,18.9048,-3.5265,72.12,17,77,12.19,broken clouds
242,Atambua,ID,2021-02-15 02:57:37,-9.1061,124.8925,81.43,72,93,4.38,overcast clouds
243,Leningradskiy,RU,2021-02-15 02:57:37,69.3833,178.4167,-13.43,85,0,5.21,clear sky
244,Rorvik,NO,2021-02-15 02:57:38,64.8621,11.2373,32.31,86,0,19.19,clear sky
245,Upernavik,GL,2021-02-15 02:57:38,72.7868,-56.1549,-1.48,91,97,5.32,overcast clouds
246,Viedma,AR,2021-02-15 02:57:38,-40.8135,-62.9967,63.0,73,98,1.01,overcast clouds
247,Athabasca,CA,2021-02-15 02:57:38,54.7169,-113.2854,-9.4,64,94,8.05,overcast clouds
248,Bilibino,RU,2021-02-15 02:57:38,68.0546,166.4372,2.32,88,90,1.32,overcast clouds
249,Carnarvon,AU,2021-02-15 02:57:38,-24.8667,113.6333,84.2,84,0,8.05,clear sky
250,Samarai,PG,2021-02-15 02:57:39,-10.6167,150.6667,85.26,67,100,8.79,overcast clouds
251,Vysokogornyy,RU,2021-02-15 02:57:39,50.1167,139.15,11.93,86,89,2.75,overcast clouds
252,Solone,UA,2021-02-15 02:57:39,48.2081,34.8721,8.6,85,0,6.71,clear sky
253,Tasiilaq,GL,2021-02-15 02:57:39,65.6145,-37.6368,30.2,80,75,5.75,broken clouds
254,Erenhot,CN,2021-02-15 02:57:39,43.6475,111.9767,18.25,87,100,15.95,overcast clouds
255,Saint-Augustin,CA,2021-02-15 02:57:40,51.226,-58.6502,1.76,89,93,8.39,overcast clouds
256,Bambous Virieux,MU,2021-02-15 02:57:40,-20.3428,57.7575,77.0,94,40,4.61,scattered clouds
257,Luang Prabang,LA,2021-02-15 02:57:40,19.8856,102.1347,66.2,77,0,0.18,clear sky
258,Marzuq,YE,2021-02-15 02:57:40,14.4,46.4667,55.08,53,51,1.5,broken clouds
259,Bocanda,CI,2021-02-15 02:57:40,7.0626,-4.4995,75.0,91,43,4.54,scattered clouds
260,Kargasok,RU,2021-02-15 02:57:41,59.0556,80.8572,21.04,98,100,15.35,light snow
261,Ponta Do Sol,PT,2021-02-15 02:57:41,32.6667,-17.1,57.2,82,20,5.75,few clouds
262,Bilma,NE,2021-02-15 02:57:41,18.6853,12.9164,66.0,23,0,12.95,clear sky
