City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
324,Quixada,BR,74.95,overcast clouds,-4.9714,-39.0153,Hotel Vale das Pedras
327,Coruripe,BR,76.53,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
332,Victoria,HK,75.0,clear sky,22.2855,114.1577,Mini Hotel Central
334,Luanda,AO,76.66,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
335,Meulaboh,ID,84.25,scattered clouds,4.1363,96.1285,Kost Pria
336,Vao,NC,80.19,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
337,Pimentel,PE,72.0,scattered clouds,-6.8367,-79.9342,Casona Del Muelle
341,Kainantu,PG,74.89,overcast clouds,-6.2887,145.8655,Nasuke GUEST House
344,Tura,IN,72.32,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
346,Waingapu,ID,85.01,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
352,Salta,AR,68.0,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
353,Padang,ID,84.2,few clouds,-0.9492,100.3543,Mercure Padang
354,Sao Joao Da Barra,BR,76.33,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
355,Buin,CL,68.0,clear sky,-33.7333,-70.75,Paihuen
357,Port-Gentil,GA,81.45,light rain,-0.7193,8.7815,Fengshui Residence
358,Alappuzha,IN,77.77,broken clouds,9.49,76.3264,Panoramic Sea Resort
360,Atar,MR,66.09,clear sky,20.5169,-13.0499,Oumou Elghoura
362,Cabedelo,BR,78.8,few clouds,-6.9811,-34.8339,Hotel Pigalle
363,Kavaratti,IN,80.76,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
367,Caravelas,BR,75.09,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
368,Ghanzi,BW,67.59,broken clouds,-21.5667,21.7833,Ghanzi Farmhouse
369,Batemans Bay,AU,70.0,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
370,Maravilha,BR,66.99,clear sky,-26.7608,-53.1725,Maravilha Palace Hotel
371,Pakala,IN,66.2,mist,13.4667,79.1167,TELUGU TALLI OLD AGE HOME
373,Saint-Leu,RE,75.99,overcast clouds,-21.15,55.2833,La Caz Oceane
375,Lima,PE,73.4,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
376,Ishigaki,JP,69.8,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
377,Itoman,JP,69.8,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
381,Japura,ID,84.0,scattered clouds,-0.3167,102.35,Rumah mbah Jamah
382,Dunmore Town,BS,76.03,clear sky,25.5,-76.65,Coral Sands Hotel
387,Richards Bay,ZA,74.82,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
388,Broken Hill,AU,84.2,clear sky,-31.95,141.4333,Royal Exchange Hotel
391,Balikpapan,ID,84.2,few clouds,-1.2675,116.8289,Grand Jatra Hotel Balikpapan
393,Whitianga,NZ,71.01,overcast clouds,-36.8333,175.7,Beachside Resort Whitianga
395,Galle,LK,79.95,scattered clouds,6.0367,80.217,Amangalla
396,Christchurch,NZ,69.8,few clouds,-43.5333,172.6333,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
398,Noumea,NC,86.0,few clouds,-22.2763,166.4572,Hôtel Le Lagon
399,Kapoeta,SS,82.54,overcast clouds,4.7717,33.5903,Eastgate Hotel
402,Bundaberg,AU,82.0,overcast clouds,-24.85,152.35,Takalvan Motel
408,Manggar,ID,83.59,overcast clouds,-2.8833,108.2667,Guest Hotel
411,Grand-Lahou,CI,78.91,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
413,Pisco,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
414,Ocos,GT,71.6,few clouds,14.5094,-92.1933,Auto Hotel El Soñador
415,Bentiu,SS,72.66,few clouds,9.2333,29.8333,Mandela hôtel
416,Salinopolis,BR,78.73,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
417,Yulara,AU,89.6,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
419,Ambon,ID,89.6,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
420,Tacuarembo,UY,66.11,broken clouds,-31.7333,-55.9833,Hotel Orange
422,Lorengau,PG,83.59,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
425,Nisia Floresta,BR,80.6,clear sky,-6.0911,-35.2086,Rancho Crepusculo
426,Santa Marta,CO,84.2,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
431,San Carlos Del Zulia,VE,77.59,broken clouds,9.0,-71.9135,Hotel El Manantial
432,Taltal,CL,65.71,few clouds,-25.4,-70.4833,Residencial Karime
433,Altamira,BR,73.38,light rain,-3.2033,-52.2064,Requinte Hotel
434,Hobyo,SO,77.76,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
441,Macas,EC,67.95,scattered clouds,-2.3167,-78.1167,Casa Upano - Guesthouse & Sanctuary
449,Bo Phloi,TH,87.01,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
451,Clarence Town,AU,73.99,overcast clouds,-32.5833,151.7833,River Downs Cottage
453,Port Antonio,JM,80.6,few clouds,18.18,-76.4612,Trident Hotel
454,Diffa,NE,69.71,clear sky,13.3154,12.6113,ProDAF/Diffa
456,Kinkala,CG,77.0,light rain,-4.3614,14.7644,Hotel la Pepeche Kinkala
458,Kolar,IN,75.99,mist,13.1333,78.1333,Hotel Saidham
464,Talara,PE,74.25,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
465,Morondava,MG,75.69,light rain,-20.2833,44.2833,La Case Bambou
469,Touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
470,Ahipara,NZ,75.45,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
471,Norton,ZW,66.0,broken clouds,-17.8833,30.7,Chingwara Mansion
472,Karratha,AU,87.28,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
473,Auki,SB,85.14,heavy intensity rain,-8.7676,160.7034,Auki Motel
475,Fougamou,GA,73.9,light rain,-1.2154,10.5838,Résidence d'Hôtes Bapedy
476,Tubmanburg,LR,75.06,scattered clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
478,Sola,VU,82.38,broken clouds,-13.8833,167.55,Leumerus Bungalows
482,Lydenburg,ZA,71.01,overcast clouds,-25.0978,30.4597,The Palms Boutique Hotel
483,Kendari,ID,87.91,overcast clouds,-3.945,122.4989,Hotel Wixel
485,Ayolas,PY,75.56,broken clouds,-27.4,-56.9,Hotel Ayolas
490,Sumenep,ID,80.94,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
493,Santa Cruz Do Sul,BR,69.01,few clouds,-29.7175,-52.4258,Hotel Antonio's
496,Formosa,AR,77.0,clear sky,-26.1775,-58.1781,Asterión Hotel
498,Pochutla,MX,77.0,clear sky,15.7432,-96.4661,Hotel Posada San Jose
499,Muli,MV,81.77,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
503,Ormara,PK,70.23,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
504,Chabahar,IR,68.86,clear sky,25.2919,60.643,هتل گدروشیا
506,Duekoue,CI,73.53,clear sky,6.7472,-7.3496,L'Etoile
507,Mangrol,IN,67.66,clear sky,21.1167,70.1167,Hotel The Royal Honours
509,Wewak,PG,80.17,heavy intensity rain,-3.5534,143.6268,In Wewak Boutique Hotel
510,Kiama,AU,73.4,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
511,Te Anau,NZ,66.51,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
513,Kununurra,AU,87.8,broken clouds,-15.7667,128.7333,Hotel Kununurra
515,Kisangani,CD,73.54,overcast clouds,0.5167,25.2,Grand Ramela Hotel
519,Cabo San Lucas,MX,68.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
526,Samana,DO,74.8,clear sky,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
527,Ciudad Guayana,VE,75.99,scattered clouds,8.3533,-62.6528,Hotel Las Americas
528,Gambela,ET,77.79,broken clouds,8.25,34.5833,Solomon Debebe Hotel
532,Maningrida,AU,85.86,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
538,Karaton,ID,81.0,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
539,Gorontalo,ID,86.88,moderate rain,0.5412,123.0595,Maqna Hotel by Prasanthi
540,San Andres,CO,78.8,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
542,Mount Isa,AU,89.6,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
544,Dolores,AR,66.09,moderate rain,-36.3132,-57.6792,Apart Hotel - Arianos
550,Basoko,CD,75.42,overcast clouds,1.2391,23.616,Flat Hotel La Benediction
553,Kotido,UG,69.06,broken clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
554,Tipitapa,NI,80.6,few clouds,12.1973,-86.0971,Hotel Entre Rios
556,Simao,CN,68.9,clear sky,22.7886,100.9748,Changyu Hotel
557,Lastoursville,GA,73.13,overcast clouds,-0.8143,12.7287,Auberge Bon Coin 02
560,Salalah,OM,66.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
561,Gizo,SB,85.01,light rain,-8.103,156.8419,Imagination Island
562,Nelson Bay,AU,71.6,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
566,Mandalay,MM,71.6,clear sky,21.9747,96.0836,Hotel Yadanarbon
568,Mackay,AU,87.8,broken clouds,-21.15,149.2,International Lodge Motel
571,Bata,GQ,78.91,light rain,1.8639,9.7658,Hotel Carmen
574,Belmonte,BR,75.2,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
575,Durban,ZA,78.01,light rain,-29.8579,31.0292,Hilton Durban
576,Siuna,NI,70.75,clear sky,13.7332,-84.7773,hotel los chinitos
580,Antalaha,MG,74.44,broken clouds,-14.9003,50.2788,Hotel Vitasoa
582,Mogadishu,SO,75.96,broken clouds,2.0371,45.3438,Hotel Juba
583,Punta Cardon,VE,77.34,few clouds,11.6581,-70.215,Bambuda hotel
586,Chicama,PE,74.35,scattered clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
590,Benguela,AO,72.07,broken clouds,-12.5763,13.4055,Hotel Praia Morena
593,Dingle,PH,78.85,light rain,10.9995,122.6711,SEGAYA PROPERTY
595,Alofi,NU,86.0,broken clouds,-19.0595,-169.9187,Taloa Heights
600,Moroni,KM,80.94,broken clouds,-11.7022,43.2551,Hotel les Arcades
602,Bontang,ID,83.75,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
605,Labuan,MY,75.2,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
606,Namibe,AO,71.73,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
609,Kismayo,SO,75.38,clear sky,-0.3582,42.5454,Agan-Hotel
610,Teahupoo,PF,84.2,moderate rain,-17.8333,-149.2667,Vanira Lodge
611,Pyay,MM,76.91,clear sky,18.8167,95.2167,Shwe Pyi Thar
612,Mbandaka,CD,73.89,light rain,0.0487,18.2603,Guest House Epervier
613,Manzanillo,CU,74.62,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
614,Susaki,JP,66.2,scattered clouds,33.3667,133.2833,Awa
615,Basco,PH,72.95,clear sky,20.4487,121.9702,Nathaniel's Lodge
619,San Carlos,VE,75.72,scattered clouds,9.6612,-68.5827,Hotel Paternopoli
621,Puerto Suarez,BO,76.21,scattered clouds,-18.95,-57.8,Hotel casa real
623,Fomboni,KM,83.14,scattered clouds,-12.28,43.7425,Auberge les abou
629,Port Augusta,AU,90.0,clear sky,-32.5,137.7667,Majestic Oasis Apartments
635,Garissa,KE,73.92,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
638,Panama City,PA,80.6,broken clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
640,Antofagasta,CL,68.0,clear sky,-23.65,-70.4,Holiday Inn Express Antofagasta
642,Emerald,AU,87.8,scattered clouds,-23.5333,148.1667,The Irish Village
643,Zemio,CF,66.4,broken clouds,5.0314,25.1361,OCHA Office
646,San Rafael,AR,71.83,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
647,Puerto Leguizamo,CO,77.13,scattered clouds,-0.1934,-74.7819,la casona de juancho
649,Ouesso,CG,73.44,light rain,1.6136,16.0517,Hôtel ABENI
651,Concepcion Del Uruguay,AR,73.99,clear sky,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
652,Ikom,NG,74.26,clear sky,5.9667,8.7063,Reho Farm & Resort
653,Tshikapa,CD,71.28,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
657,Ugoofaaru,MV,80.82,overcast clouds,5.6667,73.0,Ungoofaaru Inn
658,Biak,ID,84.52,overcast clouds,-0.9131,122.8766,Penginapan Kim
660,Mundra,IN,66.38,clear sky,22.85,69.7333,Hotel Bansidhar Palace
669,Sagua La Grande,CU,75.2,light rain,22.8067,-80.0756,Hotel Telégrafo
672,Massaguet,TD,68.0,clear sky,12.4755,15.4365,Alwatane
674,Luganville,VU,85.01,moderate rain,-15.5333,167.1667,The Espiritu Hotel
675,Gweta,BW,73.72,overcast clouds,-20.1833,25.2333,Gweta Lodge
677,Road Town,VG,78.01,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
680,Chateaubelair,VC,78.8,few clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
682,Yako,BF,76.6,clear sky,12.9667,-2.2667,Ecole de Sibega
